Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
059800000215,NESTLE GENERAL ITEMS CRISP,NESTLE GENERAL ITEMS CRISP,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
05986034,NESTLE SMARTIES,NESTLE SMARTIES,0.00,1.99,13.00,"CANDY,GUMS & CHOCOLATES"
062020050526,Nutella Bread Sticks,Nutella Bread Sticks,0.00,3.49,13.00,"CANDY,GUMS & CHOCOLATES"
850079218666,Peel pop,Peel pop,0.00,2.99,13.00,"CANDY,GUMS & CHOCOLATES"
850079218673,Peel Pop,Peel Pop,0.00,2.99,13.00,"CANDY,GUMS & CHOCOLATES"
850079218710,Peel Pop,Peel Pop,0.00,2.99,13.00,"CANDY,GUMS & CHOCOLATES"
667888590582,Peelrrz,Mango Candy,0.00,3.49,13.00,"CANDY,GUMS & CHOCOLATES"
056600793217,REESES 3 CUP,REESES 3 CUP,0.00,1.99,13.00,"CANDY,GUMS & CHOCOLATES"
041116005190,RING POP,RING POP,0.00,1.33,13.00,"CANDY,GUMS & CHOCOLATES"
859162007620,RXBAR,RXBAR,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
24435,RXBAR,RXBAR,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
859162007606,RXBAR,RXBAR,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
859162007583,RXBAR,RXBAR,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
872590000155,SESAME SNAPS,SESAME SNAPS,0.00,1.00,13.00,"CANDY,GUMS & CHOCOLATES"
058496829605,SKITTLES ORIGINAL 61G,SKITTLES ORIGINAL 61G,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
058496894917,SKITTLESSOUR 51G,SKITTLESSOUR 51G,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
058496422394,SNICKERS,SNICKERS,0.00,2.21,13.00,"CANDY,GUMS & CHOCOLATES"
062020005618,tic tac freshmint,tic tac freshmint,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
062020005649,tic tac fruit,tic tac fruit,0.00,2.66,13.00,"CANDY,GUMS & CHOCOLATES"
058496352776,TWIX,TWIX,0.00,1.99,13.00,"CANDY,GUMS & CHOCOLATES"
064900409677,WRIGLEY'S DOUBLE MINT,WRIGLEY'S DOUBLE MINT,0.00,3.29,13.00,"CANDY,GUMS & CHOCOLATES"
197111051998,Teco Earphones,Teco Earphones,0.00,11.99,13.00,cell phone accesroies
197111058195,USB-C Earphones,USB-C Earphones,0.00,11.99,13.00,cell phone accesroies
060410050910,lays classic,lays classic,0.00,1.00,13.00,CHIPS
060410080054,Lays Hot N Sweet,Lays Hot N Sweet,0.00,4.99,13.00,CHIPS
060410901656,MISS VICKS SEA SALT 55G,MISS VICKS SEA SALT 55G,2.69,2.69,13.00,CHIPS
064100119352,Pringles BBQ 68g,Pringles BBQ 68g,0.00,2.66,13.00,CHIPS
064100150546,PRINGLES HOT ONES 156G,PRINGLES HOT ONES 156G,2.89,3.99,13.00,CHIPS
060410055076,RUFFELS CREAM ONION 28G,RUFFELS,0.00,1.00,13.00,CHIPS
060410021842,Ruffles,Ruffles,0.00,1.00,13.00,CHIPS
060410079478,salt nd vinegar lays,salt nd vinegar lays,0.00,4.99,13.00,CHIPS
064100852624,Sour Cream Onion 68g,Sour Cream Onion 68g,0.00,2.66,13.00,CHIPS
757528052935,TAKIS FUEGO 260GM,TAKIS FUEGO 260GM,4.19,3.99,13.00,CHIPS
829515301378,VAGGIE ORIG.,SENSIBLE,0.00,3.99,13.00,CHIPS
829515308582,VEGGIE ORIGINAL,VEGGIE,0.00,3.79,13.00,CHIPS
829515324629,ZESTY RANCH,VEGGIE,0.00,4.99,13.00,CHIPS
060410042526,ket,ket,0.00,2.19,13.00,CHIPS & SNACKS
060410048603,Lay's Classic 60g,Lay's Classic 60g,1.09,2.39,13.00,CHIPS & SNACKS
060410047118,LAYS LIGHTLY SALTED 235G,LAYS LIGHTLY SALTED 235G,3.44,5.39,13.00,CHIPS & SNACKS
060410047040,LAYS WAVY ORIGINAL 235G,LAYS WAVY ORIGINAL 235G,3.44,5.39,13.00,CHIPS & SNACKS
060410071830,Miss Vickie's Origianl 55g,Miss Vickie's Origianl 55g,0.00,2.39,13.00,CHIPS & SNACKS
060410073773,MISS VICKIES SOUR CREAM & ONION,MISS VICKIES SOUR CREAM & ONION,0.00,5.39,13.00,CHIPS & SNACKS
060410046678,original  CHIPS & SNACKS,original  CHIPS & SNACKS,3.36,5.49,13.00,CHIPS & SNACKS
064100111370,PRINGLES BBQ,PRINGLES BBQ,0.00,4.99,13.00,CHIPS & SNACKS
064100852617,Pringles Origianl 67g,Pringles Origianl 67g,0.00,2.66,13.00,CHIPS & SNACKS
064100111417,PRINGLES SALT & VINEGAR,PRINGLES SALT & VINEGAR,0.00,4.99,13.00,CHIPS & SNACKS
064100159372,Pringles Sauce chilly,Pringles Sauce chilly,0.00,4.99,13.00,CHIPS & SNACKS
064100111356,PRINGLES SOUR CREAM& ONION,PRINGLES SOUR CREAM& ONION,0.00,4.99,13.00,CHIPS & SNACKS
064100159433,Pringles Spicy hot pot,Pringles Spicy hot pot,0.00,4.99,13.00,CHIPS & SNACKS
060410047217,regular CHIPS & SNACKS,regular CHIPS & SNACKS,3.17,5.49,13.00,CHIPS & SNACKS
060410075098,RUFFLES CHEDDAR & SOUR CREAM,RUFFLES CHEDDAR & SOUR CREAM,0.00,5.39,13.00,CHIPS & SNACKS
060410046715,Sea salt & malt vinegar,Sea salt & malt vinegar,0.00,5.50,13.00,CHIPS & SNACKS
060410029886,Smart food,Smart food,0.00,5.39,13.00,CHIPS & SNACKS
060410029909,SMARTFOOD MOVIE NIGHT BUTTER,SMARTFOOD MOVIE NIGHT BUTTER,0.00,5.50,13.00,CHIPS & SNACKS
060410006139,Smartfood White Cheddar 45g,Smartfood White Cheddar 45g,0.00,2.39,13.00,CHIPS & SNACKS
060410047255,Sour cream & BaconCHIPS & SNACKS,Sour cream & BaconCHIPS & SNACKS,0.00,5.39,13.00,CHIPS & SNACKS
060410047248,Sour cream & Onion CHIPS & SNACKS,Sour cream & Onion CHIPS & SNACKS,3.17,5.50,13.00,CHIPS & SNACKS
060410047644,sour cream and onion small,sour cream and onion small,0.00,2.39,13.00,CHIPS & SNACKS
757528051143,TAKIES BLUE HEAT,TAKIES BLUE HEAT,0.00,3.99,13.00,CHIPS & SNACKS
757528050511,Takis int. nacho,Takis int. nacho,0.00,3.99,13.00,CHIPS & SNACKS
614156061527,Uncle Rays BBQ CHIPS & SNACKS 130g,Uncle Rays BBQ CHIPS & SNACKS 130g,0.00,2.50,13.00,CHIPS & SNACKS
614156061503,Uncle Rays potato CHIPS & SNACKS 130g,Uncle Rays potato CHIPS & SNACKS 130g,0.00,2.50,13.00,CHIPS & SNACKS
614156061510,Uncle Rays Ripple 130g,Uncle Rays Ripple 130g,0.00,2.50,13.00,CHIPS & SNACKS
055598622103,La Petite Danish,La Petite Danish,0.00,2.50,13.00,COOKIES
055000892964,NESTLE BUTTERSCOTH SUNDAE,NESTLE BUTTERSCOTH SUNDAE,0.00,7.50,0.00,DAIRY PRODUCTS
055000893008,Nestle Parlour French Vanille,Nestle Parlour French Vanille,0.00,7.50,0.00,DAIRY PRODUCTS
055000893053,Nestle Parlour Vanilla,Nestle Parlour Vanilla,0.00,7.50,0.00,DAIRY PRODUCTS
064420000798,sealtest 2%,sealtest 2%,0.00,3.99,0.00,DAIRY PRODUCTS
064420000224,SEALTEST 3.25% 1L,SEALTEST 3.25% 1L,0.00,3.99,13.00,DAIRY PRODUCTS TAXABLE
056910406418,Pabst,Pabst,0.00,2.59,13.00,DELI
643843714828,PREMIER PROTEIN VANILLA 325ML,PREMIER PROTEIN VANILLA 325ML,0.00,3.31,13.00,DRINK/SLUSHY
070310001707,laker ice black 473 ml,laker ice black 473 ml,0.00,2.59,13.00,DRINKS
620707101970,Laker red,Laker red,0.00,2.59,13.00,DRINKS
055000216500,Maison Perrier,Maison Perrier,0.00,1.99,13.00,DRINKS
853195000535,MOJI LIGHTER,SMOKE,0.00,7.25,13.00,DRINKS
070847811190,MONSTER ORIGINAL,MONSTER ORIGINAL,0.00,3.99,13.00,DRINKS
070847890720,MONSTER ULTRA PEACHY KEEN,MONSTER ULTRA PEACHY KEEN,0.00,3.99,13.00,DRINKS
070847015208,MONSTER ULTRA ZERO,MONSTER ULTRA ZERO,0.00,3.99,13.00,DRINKS
070847002901,MONSTER ZERO SUGAR,MONSTER ZERO SUGAR,0.00,3.99,13.00,DRINKS
069000040508,Mug Root Beer 355ml,Mug Root Beer 355ml,0.00,1.33,13.00,DRINKS
057379600119,NAYA 600ml,NAYA 600ml,0.00,1.55,13.00,DRINKS
990484000071,NESTEA LEMON 355ML,NESTEA LEMON 355ML,0.67,1.33,13.00,DRINKS
067311020110,OASIS ORANGE 300 ML,OASIS ORANGE 300 ML,0.00,1.77,13.00,DRINKS
06766407,PEACE TEA PEACH,PEACE TEA PEACH,0.00,1.99,13.00,DRINKS
06766504,PEACE TEA RASPBERRY,PEACE TEA RASPBERRY,0.00,1.99,13.00,DRINKS
06787303,PEACE TEA SNO BERRY,PEACE TEA SNO BERRY,0.00,1.99,13.00,DRINKS
069000010662,Pepsi Diet 710 ml,Pepsi Diet 710 ml,0.00,3.00,13.00,DRINKS
069000013830,Pepsi zero,Pepsi zero,0.00,2.99,13.00,DRINKS
067311680284,pine apple burst,pine apple burst,0.00,3.57,13.00,DRINKS
180009000017,POP SHOP BLACK CHERRY,POP SHOP BLACK CHERRY,0.00,2.22,13.00,DRINKS
180009000338,"POP SHOP COTTON CANDY,GUMS & CHOCOLATES","POP SHOP COTTON CANDY,GUMS & CHOCOLATES",0.00,2.22,13.00,DRINKS
180009000031,POP SHOP CREAM SODA,POP SHOP CREAM SODA,0.00,2.22,13.00,DRINKS
180009000024,POP SHOP LIME,POP SHOP LIME,0.00,2.22,13.00,DRINKS
06748605,POWER ADE FRUIT PUNCH,POWER ADE FRUIT PUNCH,0.00,3.49,13.00,DRINKS
06748809,POWER ADE MELON PINEAPPLE,POWER ADE MELON PINEAPPLE,0.00,2.99,13.00,DRINKS
06748702,POWER ADE ORANGE,POWER ADE ORANGE,0.00,2.99,13.00,DRINKS
06794604,powerade zero blue,powerade zero blue,0.00,3.49,13.00,DRINKS
067000011887,powerade zero punch,powerade zero punch,0.00,3.49,13.00,DRINKS
06748906,Pwrd,Pwrd,0.00,3.49,13.00,DRINKS
180854000101,RED BULL 250 original,RED BULL 250 original,0.00,3.55,13.00,DRINKS
180854000507,RED BULL 355 UNI,RED BULL 355 UNI,0.00,3.75,13.00,DRINKS
180854000774,RED BULL 473 UNI,RED BULL 473 UNI,0.00,5.75,13.00,DRINKS
180854000309,RED BULL SUGAR FREE 250 UNI,RED BULL SUGAR FREE 250 UNI,0.00,3.55,13.00,DRINKS
180854000606,RED BULL SUGAR FREE 355 UNI,RED BULL SUGAR FREE 355 UNI,0.00,3.75,13.00,DRINKS
016600000760,Schweppers Ginger ale,Schweppers Ginger ale,0.00,2.99,13.00,DRINKS
016600000395,SCHWEPPES 2LT,SCHWEPPES 2LT,0.00,4.29,13.00,DRINKS
06224318,soda club,soda club,0.00,1.33,13.00,DRINKS
067000110573,sprite  zero sugar,sprite  zero sugar,0.00,4.29,13.00,DRINKS
067000104015,SPRITE 710 ML,SPRITE 710 ML,0.00,2.99,13.00,DRINKS
06793207,SPRITE CAN,SPRITE CAN,0.00,1.49,13.00,DRINKS
702915003014,Steam Whistle,Steam Whistle,0.00,3.99,13.00,DRINKS
062067382178,stella  473 ml,stella  473 ml,0.00,3.49,13.00,DRINKS
050200013003,SUNNY D ORANGE ST,SUNNY D ORANGE ST,0.00,1.99,13.00,DRINKS
050200012976,SUNNY TANGY ORIGINAL,SUNNY TANGY ORIGINAL,0.00,1.99,13.00,DRINKS
858629001065,ting sparkling grape fruit,ting sparkling grape fruit,0.00,2.43,13.00,DRINKS
613008771300,TONIC WATERMELON,ARIZONA,0.00,3.31,13.00,DRINKS
087692011248,Twisted Tea,Twisted Tea,3.99,3.99,13.00,DRINKS
898999000022,Vita coconut waster 330ml,Vita coconut waster 330ml,0.00,2.49,13.00,DRINKS
990484000101,Nestea,Nestea,0.00,2.50,0.00,DRINKS NO TAX
6942007652629,Mini HX61,Mini HX61,0.00,22.99,13.00,ELECTRONICS
197190301632,Type C cable,Type C cable,0.00,9.99,13.00,ELECTRONICS
6942007652667,Ultra thin HOCO HX 65,Ultra thin HOCO HX 65,0.00,26.99,13.00,ELECTRONICS
197190301625,USB C TYPE CABLE TECO,USB C TYPE CABLE TECO,0.00,9.99,13.00,ELECTRONICS
5056594152132,Van Dens Earphones,Van Dens Earphones,0.00,15.99,13.00,Electronics - My top gift
5060674507675,Van dens earphones,Van dens earphones,0.00,12.99,13.00,Electronics - My top gift
5060674507361,Van Dens Earphones,Van Dens Earphones,0.00,9.99,13.00,Electronics - My top gift
5060674508870,Van Dens Earphones,Van Dens Earphones,0.00,8.99,13.00,Electronics - My top gift
5056594171195,Van dens Power bank,Van dens Power bank,0.00,22.99,13.00,Electronics - My top gift
5056594152088,Van Dens Power bank,Van Dens Power bank,0.00,27.99,13.00,Electronics - My top gift
5060674507446,Ven Dens,Ven Dens,0.00,12.99,13.00,Electronics - My top gift
5056594172246,Ven Dens Adapter,Ven Dens Adapter,0.00,17.99,13.00,Electronics - My top gift
5056594114888,Ven Dens Adapter,Ven Dens Adapter,0.00,20.99,13.00,Electronics - My top gift
5056594115120,Ven Dens Adapter,Ven Dens Adapter,0.00,37.99,13.00,Electronics - My top gift
5056594152125,Ven Dens cable,Ven Dens cable,0.00,10.99,13.00,Electronics - My top gift
5056594153153,Ven Dens Cable,Ven Dens Cable,0.00,12.99,13.00,Electronics - My top gift
5060674507460,Ven dens cable,Ven dens cable,0.00,12.99,13.00,Electronics - My top gift
5056594115175,Ven Dens Car holder,Ven Dens Car holder,0.00,15.99,13.00,Electronics - My top gift
5056594152354,Ven dens car holder,Ven dens car holder,0.00,6.99,13.00,Electronics - My top gift
5056594152323,Ven Dens Car Holder,Ven Dens Car Holder,0.00,12.99,13.00,Electronics - My top gift
5056594114666,Ven Dens Car Holder,Ven Dens Car Holder,0.00,11.99,13.00,Electronics - My top gift
5060674508108,Ven dens car mp3 player,Ven dens car mp3 player,0.00,19.99,13.00,Electronics - My top gift
5060674508603,Ven dens data cable,Ven dens data cable,0.00,9.99,13.00,Electronics - My top gift
5056594195597,Ven Dens Gaming Head Phones,Ven Dens Gaming Head Phones,0.00,26.99,13.00,Electronics - My top gift
5060674507743,Ven Dens Mini Car Charger,Ven Dens Mini Car Charger,0.00,9.99,13.00,Electronics - My top gift
5060674508887,Ven Dens Power Bank,Ven Dens Power Bank,0.00,34.99,13.00,Electronics - My top gift
5060674508948,Ven Dens Wireless charger,Ven Dens Wireless charger,0.00,17.99,13.00,Electronics - My top gift
990312906957,Solid Vibe,Solid Vibe,0.00,3.99,13.00,ENERGY DRINK
990312906971,Solid Vibe,Solid Vibe,0.00,3.99,13.00,ENERGY DRINK
990312906964,Solid Vibe,Solid Vibe,0.00,3.99,13.00,ENERGY DRINK
060410074848,Munchies peanuts,Munchies peanuts,0.00,1.99,13.00,FOOD ITMES
24542,Patty,Patty,0.00,2.22,13.00,FOOD ITMES
24543,Patty Combo,Patty Combo,0.00,3.10,13.00,FOOD ITMES
060410079492,Lays Sour Cream & Onion,Lays Sour Cream & Onion,1.00,4.99,13.00,GENERAL ITEMS
3057068029709,OCB Regular,OCB Regular,3.49,2.99,13.00,GENERAL ITEMS
063474313496,Old dutch,Old dutch,0.00,7.89,13.00,GENERAL ITEMS
24343,PHOTO,PHOTO,0.00,14.99,13.00,GENERAL ITEMS
806712310402,Pure air,Pure air,0.00,6.50,13.00,GENERAL ITEMS
055966919088,Pure Air,Pure Air,0.00,6.50,13.00,GENERAL ITEMS
806712305279,Purew Air,Purew Air,0.00,6.50,13.00,GENERAL ITEMS
055966202173,Small Aluminium tray,Small Aluminium tray,0.00,2.99,13.00,GENERAL ITEMS
073390055905,sparemint,sparemint,0.00,2.99,13.00,GENERAL ITEMS
4987176179906,Tide Matic,Tide Matic,0.00,7.99,13.00,GENERAL ITEMS
059212971448,Titan Freezer Bags,Titan Freezer Bags,0.00,2.75,13.00,GENERAL ITEMS
030772176368,Tide,Tide,0.00,7.99,13.00,GENERAL ITMES
060100043963,LD LIGHTER,LD,0.00,3.00,0.00,GENERAL NO TAX
059749938747,Tea bag,Tea bag,0.00,8.99,0.00,GENERAL NO TAX
041390001055,Kikkoman Soy Sauce,Kikkoman Soy Sauce,0.00,7.99,13.00,GROCERY
096619960095,Kirkland Tissue,Kirkland Tissue,0.00,8.99,13.00,GROCERY
055966900321,Large Trey,Large Trey,0.00,4.50,13.00,GROCERY
060410079942,Lays 200g,Lays 200g,0.00,4.99,13.00,GROCERY
771913677282,MENTOS CINNAMONSTAIN SOFT BATHROOM TISSU,MENTOS CINNAMONSTAIN SOFT BATHROOM TISSUE,0.00,2.99,13.00,GROCERY
062858101209,Milano Giant Lady Biscuts,Milano Giant Lady Biscuts,0.00,3.99,13.00,GROCERY
055000008839,NESCAFE RICH 100GM,NESCAFE RICH 100GM,0.00,9.99,13.00,GROCERY
031146250301,Nongshim Spicy Chicken Bowl GENERAL ITEM,Nongshim Spicy Chicken Bowl GENERAL ITEMS 86g,0.00,2.49,13.00,GROCERY
067311241218,Oasis Red Grape,Oasis Red Grape,0.00,1.77,13.00,GROCERY
063474104179,Old dutch,Old dutch,0.00,4.99,13.00,GROCERY
060383125189,PC Club soda,PC Club soda,0.00,3.99,13.00,GROCERY
055966913109,Plates,Plates,0.00,4.99,13.00,GROCERY
806712310396,Pure air,Pure air,0.00,2.99,13.00,GROCERY
806712305286,Pure air,Pure air,0.00,2.99,13.00,GROCERY
806712307839,Pure clean dish washing solution,Pure clean dish washing solution,0.00,2.99,13.00,GROCERY
806712314905,Pure klean,Pure klean,0.00,2.99,13.00,GROCERY
067311010029,Rougemont Apple juice 2L,Rougemont Apple juice 2L,0.00,5.00,13.00,GROCERY
834605003834,Saniblend Cleaner,Saniblend Cleaner,0.00,14.99,13.00,GROCERY
055966900291,Small Trey,Small Trey,0.00,2.50,13.00,GROCERY
087399590954,Snuggle air freshner,Snuggle air freshner,0.00,2.99,13.00,GROCERY
806712305026,Strongmore Aluminium Foil,Strongmore Aluminium Foil,0.00,5.99,13.00,GROCERY
030772188460,Tide,Tide,0.00,6.99,13.00,GROCERY
030772176344,Tide detergent,Tide detergent,0.00,7.99,13.00,GROCERY
6903148078884,Tide detergent,Tide detergent,0.00,3.99,13.00,GROCERY
030772121191,Tide Original 1L,Tide Original 1L,0.00,10.99,13.00,GROCERY
031146056262,Tonkotsu,Tonkotsu,0.00,4.00,13.00,GROCERY
069237012408,Venice shot glass,Venice shot glass,0.00,3.99,13.00,GROCERY
061536012721,WD-40,WD-40,0.00,9.99,13.00,GROCERY
063252385387,Wellson duct tape,Wellson duct tape,0.00,2.99,13.00,GROCERY
063252385462,Wellson insulation tape,Wellson insulation tape,0.00,2.99,13.00,GROCERY
063252385554,Wellson painters tape,Wellson painters tape,0.00,2.99,13.00,GROCERY
698931001427,Wild pard shoe polish,Wild pard shoe polish,0.00,3.99,13.00,GROCERY
068062021746,IP PASTA,IP PASTA,0.00,4.99,0.00,GROCERY NO TAX
061308400107,Kalas sea salt,Kalas sea salt,0.00,2.99,0.00,GROCERY NO TAX
064200130585,Lancia Fusilli,Lancia Fusilli,0.00,2.50,0.00,GROCERY NO TAX
623190810404,Luncheon Meat 340g,Luncheon Meat 340g,0.00,3.50,0.00,GROCERY NO TAX
059950300159,Margerine,Margerine,0.00,5.00,0.00,GROCERY NO TAX
066188004698,Maxwell Original,Maxwell Original,0.00,8.99,0.00,GROCERY NO TAX
059491000501,Mr GENERAL ITEMS pack chicken,Mr GENERAL ITEMS pack chicken,0.00,1.00,0.00,GROCERY NO TAX
059491000778,Mr GENERAL ITEMS pack spicy chicken,Mr GENERAL ITEMS pack spicy chicken,0.00,1.00,0.00,GROCERY NO TAX
059491002550,Mr GENERAL ITEMS spcy chicken,Mr GENERAL ITEMS spcy chicken,0.00,2.00,0.00,GROCERY NO TAX
059491000785,MR. GENERAL ITEMSS SPICY BEEF,MR. GENERAL ITEMSS SPICY BEEF,0.00,1.00,0.00,GROCERY NO TAX
055000489256,Nescafe,Nescafe,0.00,9.99,0.00,GROCERY NO TAX
055000383998,Nescafe Gold,Nescafe Gold,0.00,13.00,0.00,GROCERY NO TAX
055000008815,Nescafe Rich,Nescafe Rich,0.00,9.50,0.00,GROCERY NO TAX
031200046079,OCEAN SPRAY CANNEBERY,OCEAN SPRAY CANNEBERY,0.00,5.99,0.00,GROCERY NO TAX
066721026613,Oreo Golden,Oreo Golden,0.00,4.50,0.00,GROCERY NO TAX
628154458197,Oreo Puffs,Oreo Puffs,0.00,5.50,0.00,GROCERY NO TAX
066721026590,OREO THE ORIGINAL 270G,OREO THE ORIGINAL 270G,0.00,4.99,0.00,GROCERY NO TAX
058807489092,ORVILLE BUTTER,ORVILLE BUTTER,0.00,1.69,0.00,GROCERY NO TAX
058807485247,ORVILLE EXTRA BUTTER,ORVILLE EXTRA BUTTER,0.00,1.99,0.00,GROCERY NO TAX
059300024803,PALL MALL  SMOOTH  KS 20,PALL MALL  SMOOTH  KS 20,0.00,14.50,0.00,GROCERY NO TAX
