Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
859162007606,RXBAR,"CANDY,GUMS & CHOCOLATES",4.99,5.64,2.21,2.50,2.78,price landed on the wrong product
24435,RXBAR,"CANDY,GUMS & CHOCOLATES",35.40,40.00,2.21,2.50,33.19,price landed on the wrong product
859162007620,RXBAR,"CANDY,GUMS & CHOCOLATES",13.72,15.50,2.21,2.50,11.51,price landed on the wrong product
716165174219,RW KS PH,TOBACCO,2.21,2.50,2.99,3.38,-0.78,price landed on the wrong product
060410075098,RUFFLES CHEDDAR & SOUR CREAM,CHIPS & SNACKS,2.21,2.50,5.39,6.09,-3.18,price landed on the wrong product
060410021842,Ruffles,CHIPS,2.21,2.50,1.00,1.13,1.21,price landed on the wrong product
060410055076,RUFFELS CREAM ONION 28G,CHIPS,2.21,2.50,1.00,1.13,1.21,price landed on the wrong product
063920019347,ROYAL SCRUB,HEALTH & BEAUTY,2.99,3.38,2.69,3.04,0.30,price landed on the wrong product
016800233005,ROYAL OAK CHARCOAL LIGHTER 946UNI,HEALTH & BEAUTY,5.39,6.09,5.99,6.77,-0.60,price landed on the wrong product
063435704073,royal,HEALTH & BEAUTY,1.00,1.13,4.29,4.85,-3.29,price landed on the wrong product
643843714828,PREMIER PROTEIN VANILLA 325ML,DRINK/SLUSHY,4.99,5.64,3.31,3.74,1.68,price landed on the wrong product
067000011887,powerade zero punch,DRINKS,3.50,3.96,3.49,3.94,0.01,price landed on the wrong product
06794604,powerade zero blue,DRINKS,2.50,2.83,3.49,3.94,-0.99,price landed on the wrong product
872590000155,SESAME SNAPS,"CANDY,GUMS & CHOCOLATES",2.21,2.50,1.00,1.13,1.21,price landed on the wrong product
064420000224,SEALTEST 3.25% 1L,DAIRY PRODUCTS TAXABLE,2.75,3.11,3.99,4.51,-1.24,price landed on the wrong product
060410029886,Smart food,CHIPS & SNACKS,3.55,4.01,5.39,6.09,-1.84,price landed on the wrong product
055966900291,Small Trey,GROCERY,2.39,2.70,2.50,2.83,-0.11,price landed on the wrong product
055966202173,Small Aluminium tray,GENERAL ITEMS,5.50,6.22,2.99,3.38,2.51,price landed on the wrong product
3057068015986,SLIM OCB,VAPE & CIGAR,3.00,3.39,2.99,3.38,0.01,price landed on the wrong product
058496894917,SKITTLESSOUR 51G,"CANDY,GUMS & CHOCOLATES",5.39,6.09,2.21,2.50,3.18,price landed on the wrong product
058496829605,SKITTLES ORIGINAL 61G,"CANDY,GUMS & CHOCOLATES",2.50,2.83,2.21,2.50,0.29,price landed on the wrong product
058496460785,SKITTLES GUMMIES ORIGINAL 57G,HEALTH & BEAUTY,2.99,3.38,1.99,2.25,1.00,price landed on the wrong product
064100852624,Sour Cream Onion 68g,CHIPS,7.99,9.03,2.66,3.01,5.33,price landed on the wrong product
