Name;CategoryId;SalePriceExTax;SalePriceIncTax;ButtonColourId;Barcode;SalePriceTaxGroupId
INSTANT OUT;LOTTERY;50.99;50.99;;;NoTax
INSTANT;LOTTERY;30.00;30.00;;;NoTax
LOTTO OUT;LOTTERY;3.50;3.50;;;NoTax
LOTTO IN;LOTTERY;10.00;10.00;;;NoTax
Tiger Lager 500 ml;Beer;3.69;4.16;;086428230502;HST
Tide Original 1L;GROCERY;10.99;12.42;;030772121191;HST
tide og 1 litre;HEALTH & BEAUTY;10.99;12.42;;030772121207;HST
Tide Matic;GENERAL ITEMS;7.99;9.03;;4987176179906;HST
Tide detergent;GROCERY;3.99;4.51;;6903148078884;HST
Tide detergent;GROCERY;7.99;9.03;;030772176344;HST
Tide;GROCERY;6.99;7.90;;030772188460;HST
Tide;GROCERY;7.99;9.03;;030772176351;HST
Tide;GENERAL ITMES;7.99;9.03;;030772176368;HST
tic tac fruit;CANDY,GUMS & CHOCOLATES;2.66;3.01;;062020005649;HST
tic tac freshmint;CANDY,GUMS & CHOCOLATES;2.25;2.54;;062020005618;HST
TWEEZERS;HEALTH & BEAUTY;3.09;3.49;;071603529007;HST
TUFF GUYY 40 STRONG GARBAGE BAGS;HEALTH & BEAUTY;7.99;9.03;;055966994436;HST
Trojan naked;HEALTH & BEAUTY;3.99;4.51;;061700915445;HST
Trojan classic;HEALTH & BEAUTY;3.99;4.51;;061700930509;HST
Tonkotsu;GROCERY;4.00;4.52;;031146056262;HST
TONIC WATERMELON;DRINKS;3.31;3.74;;613008771300;HST
TOBACCO CAMEL ORIGINAL 25;TOBACCO;16.40;18.53;;060100045325;HST
TMPR Hydrogen Peroxide;HEALTH & BEAUTY;3.99;4.51;;757350671519;HST
Titan Freezer Bags;GENERAL ITEMS;2.75;3.11;;059212971448;HST
ting sparkling grape fruit;DRINKS;2.43;2.75;;858629001065;HST
Venice shot glass;GROCERY;3.99;4.51;;069237012408;HST
Ven Dens Wireless charger;Electronics - My top gift;17.99;20.33;;5060674508948;HST
Ven Dens Power Bank;Electronics - My top gift;34.99;39.54;;5060674508887;HST
Ven Dens Mini Car Charger;Electronics - My top gift;9.99;11.29;;5060674507743;HST
Ven Dens Gaming Head Phones;Electronics - My top gift;26.99;30.50;;5056594195597;HST
Ven dens data cable;Electronics - My top gift;9.99;11.29;;5060674508603;HST
Ven dens car mp3 player;Electronics - My top gift;19.99;22.59;;5060674508108;HST
Ven Dens Car Holder;Electronics - My top gift;11.99;13.55;;5056594114666;HST
Ven Dens Car Holder;Electronics - My top gift;12.99;14.68;;5056594152323;HST
Ven dens car holder;Electronics - My top gift;6.99;7.90;;5056594152354;HST
Ven Dens Car holder;Electronics - My top gift;15.99;18.07;;5056594115175;HST
Ven dens cable;Electronics - My top gift;12.99;14.68;;5060674507460;HST
Ven dens cable;Electronics - My top gift;12.99;14.68;;5060674507453;HST
TWIX;CANDY,GUMS & CHOCOLATES;1.99;2.25;;058496352776;HST
Twisted tea pineapple;Beer;3.55;4.00;;087692018551;HST
Twisted Tea Part Pack;R.T.D.;29.99;33.89;;087692023425;HST
Twisted tea original 473;Beer;3.59;4.04;;087692007470;HST
Twisted Tea Extreme Lemon;R.T.D.;3.55;4.00;;087692024224;HST
Twisted tea extreme Blue Razz;R.T.D.;3.55;4.00;;087692020837;HST
Twisted Tea;DRINKS;3.99;4.51;;087692011248;HST
Gravol easy to swallow;HEALTH & BEAUTY;6.99;7.90;;058738325513;HST
GOOD CALL 2.5;phone card;2.50;2.83;;32012500806125;HST
Glue snare;GROCERY;3.99;4.51;;6953937164014;HST
Global Beauty Care Wipes;HEALTH & BEAUTY;6.99;7.90;;814655029749;HST
Glass rose;HEALTH & BEAUTY;3.99;4.51;;5421578602741;HST
Gillette shaving foam 49gm;HEALTH & BEAUTY;1.99;2.25;;065513197661;HST
Gillette Series;HEALTH & BEAUTY;7.99;9.03;;047400662209;HST
GATORADE G2 GRAPE 591UNI;DRINKS;2.99;3.38;;055577420942;HST
Gatorade;ENERGY DRINK;3.10;3.50;;057271165044;HST
Gatorade;DRINKS;3.10;3.50;;057271555845;HST
Garnier Fructis Shampoo;HEALTH & BEAUTY;6.99;7.90;;603084491254;HST
GARBAGE BAGS;HEALTH & BEAUTY;2.49;2.81;;825096000150;HST
Gain Detergent liq.;GENERAL ITEMS;6.99;7.90;;030772247747;HST
G2 ORANGE 591UNI;DRINKS;3.10;3.50;;055577420928;HST
G2 FRUIT PUNCH 591UNI;DRINKS;3.10;3.50;;055577420935;HST
G-ZERO LIME 591UNI;DRINKS;3.10;3.50;;055577420232;HST
G ZERO ORANGE 591UNI;DRINKS;2.99;3.38;;057271162562;HST
G ZERO LEMON LIM E 591UNI;DRINKS;2.99;3.38;;057271162586;HST
G ZERO GLACIER FREEZE;DRINKS;2.99;3.38;;057271164122;HST
G ZERO BERRY 591UNI;DRINKS;2.99;3.38;;057271162609;HST
G ZERO BERRY;DRINKS;2.99;3.38;;057271162647;HST
G ORANGE 591UNI;DRINKS;3.10;3.50;;055577420249;HST
G FRIUT PUNCH 710UNI;DRINKS;3.50;3.96;;055577421000;HST
G FRIU PUNCH 591UNI;DRINKS;2.99;3.38;;055577420263;HST
G COOL CLUE 710UNI;DRINKS;3.50;3.96;;055577421024;HST
G COOL BLUE 591UNI;DRINKS;2.99;3.38;;055577420515;HST
G COOL BLUE 591UNI;DRINKS;2.10;2.37;;055577420270;HST
G CITRON LIME 710UNI;DRINKS;3.50;3.96;;055577421017;HST
Fuzion keepbest;BONG AND PIPES;16.99;19.20;;742271563272;HST
fuse;DRINKS;1.55;1.75;;080793793679;HST
FULL KING SIZE 25;JTI VAPE & CIGARATE;14.82;16.75;;060100045844;HST
FIJI 1.5L;DRINKS;4.49;5.07;;632565000234;HST
FERRERO ROCHER;CANDY,GUMS & CHOCOLATES;2.87;3.24;;06202945;HST
Febreze air mist;GROCERY;6.50;7.35;;030772030868;HST
FEBEZE MEDITERRANEAN LAVENDER;HEALTH & BEAUTY;6.99;7.90;;037000962649;HST
Faxe Amber 473;Beer;2.59;2.91;;5741000500057;HST
Fax Premium;Beer;3.09;3.48;;5741000465684;HST
Fanta Strawberry 2L;DRINKS;3.99;4.51;;067000013775;HST
fanta can;DRINKS;1.33;1.50;;067000011559;HST
Fanta 710;DRINKS;3.20;3.62;;067000013874;HST
Fanta 355;DRINKS;1.33;1.50;;067000013737;HST
FANTA 2L OR;DRINKS;4.43;5.01;;067000011641;HST
Fanta 2l;DRINKS;3.99;4.51;;067000013843;HST
Fanta;DRINKS;1.87;2.11;;067000011061;HST
Export A Green Rolling Paper;VAPE & CIGAR;2.88;3.25;;060100003004;HST
Export A Full;TOBACCO;4.42;4.99;;060100003097;HST
EXPORT A FINE RG 25;TOBACCO;19.03;21.50;;060100009389;HST
EXPORT A FINE;TOBACCO;19.03;21.50;;060100009440;HST
excel white bubble gum gum;CANDY,GUMS & CHOCOLATES;2.21;2.50;;064900409554;HST
Excel spearmint 12 pc singkles;CANDY,GUMS & CHOCOLATES;2.21;2.50;;064900000317;HST
White Claw surge;R.T.D.;3.89;4.38;;848819001654;HST
white claw passion fruit;Beer;3.89;4.38;;848819000947;HST
White Claw Mango 473ML;Beer;3.59;4.04;;848819000015;HST
White claw lime 473ml;R.T.D.;3.59;4.04;;848819000022;HST
White Claw Hard Seltzer Black Cherry 473;R.T.D.;3.59;4.04;;848819000008;HST
White Claw Blackberry 473ML;R.T.D.;3.59;4.04;;848819000985;HST
Whiskas Seafood 670g;PET FOOD;7.99;9.03;;058496433215;HST
Wellson painters tape;GROCERY;2.99;3.38;;063252385554;HST
Wellson insulation tape;GROCERY;2.99;3.38;;063252385462;HST
Wellson duct tape;GROCERY;2.99;3.38;;063252385387;HST
WD-40;GROCERY;9.99;11.29;;061536012721;HST
Wild pard shoe polish;GROCERY;3.99;4.51;;698931001427;HST
Wild pard shoe polish;GROCERY;2.99;3.38;;698931001434;HST
HEINEKEN 330UNIT;Beer;3.19;3.58;;72890000224;HST
heinekel 6 pack 330ml bottle;Beer;20.42;23.00;;072890000033;HST
HARIBO GOLD BEARS 150G;SNACK;3.49;3.94;;4001686396452;HST
HAPPY VALEMTINE 6INH;BONG AND PIPES;4.99;5.64;;5421578602765;HST
halls vitamin c citrus;CANDY,GUMS & CHOCOLATES;2.25;2.54;;057700853863;HST
halls regular;CANDY,GUMS & CHOCOLATES;2.21;2.50;;057700229972;HST
halls honey lemon;CANDY,GUMS & CHOCOLATES;2.25;2.54;;057700628805;HST
HALLS EXTRA FORT;CANDY,GUMS & CHOCOLATES;2.25;2.54;;057700212752;HST
Halls cherry flavour sugarfree;CANDY,GUMS & CHOCOLATES;2.25;2.54;;057700229958;HST
Haiegendas Choc;ICE CREAMS;8.99;10.16;;055000205665;HST
Habibi Pre rolled tip;HEALTH & BEAUTY;3.99;4.51;;788413295601;HST
HAAGEN DAZZ VANILLA MILK;ICE CREAMS;4.79;5.41;;055000205306;HST
HAAGEN DAZZ VANILLA ALMOND;ICE CREAMS;4.79;5.41;;055000205320;HST
Haagen Dazs;Ice cream;8.99;10.16;;055000201827;HST
Haagen Dazs;Ice cream;8.99;10.16;;055000205542;HST
guniess 4 pack;Beer;15.58;17.53;;083820123609;HST
Guiness 500 ML;Beer;4.35;4.90;;5000213015414;HST
FRUITIE FRUIT PUNCH;DRINKS;3.99;4.51;;067311350026;HST
FRITR ICED TEA;DRINKS;3.99;4.51;;067311002994;HST
FRISKIES TURKEY & CHEESE DINNER;PET FOOD;1.77;2.00;;050000150779;HST
FRISKIES SEAFOOD SUPREME;PET FOOD;1.77;2.00;;056366006989;HST
